50 -241.14002300 -248.17088400
50 -241.24371000 -247.48584600
50 -238.88517800 -244.76535100
50 -245.14703300 -251.26074600
50 -244.21654000 -250.78796200
50 -249.45475000 -252.75200900
50 -250.83784100 -252.90523700
50 -246.45498200 -249.99147200
50 -248.57725200 -253.47501400
50 -249.32856300 -252.79381100
50 -250.78040500 -254.28820300
50 -251.41135700 -251.66703400
50 -245.03496000 -248.41065400
50 -249.44924100 -254.72920400
50 -255.03089100 -256.33709900
50 -253.45724400 -256.34967800
50 -253.14062900 -254.87444800
50 -256.37353400 -257.47505300
50 -251.56272100 -256.54602500
50 -247.45167700 -255.11860200
50 -252.44096600 -257.43033300
50 -248.99681400 -254.95063400
50 -255.70003000 -260.05728300
50 -249.12755100 -256.27020800
50 -253.20301300 -259.01282800
50 -253.83355500 -260.99398400
50 -249.01187000 -258.29965000
50 -255.46516100 -263.72581300
50 -253.88258000 -261.48127900
50 -254.65245200 -260.43841800
50 -254.16888400 -261.11851300
50 -257.74552500 -263.10599800
50 -257.12565900 -262.19632600
50 -260.42910700 -264.16242800
50 -260.15104300 -264.33713800
50 -256.68873400 -262.33986800
50 -257.13290200 -261.69330400
50 -260.41387400 -264.59807500
50 -254.15689500 -260.91844500
50 -261.19650300 -265.47944600
50 -255.42057300 -262.71378000
50 -258.23804400 -264.53781800
50 -258.76409400 -265.84175500
50 -259.10584600 -265.86147000
50 -261.67323800 -266.78727300
50 -265.37543900 -267.76746600
50 -261.39381700 -267.59927100
50 -256.64807600 -266.07245400
50 -258.99595300 -268.38361500
50 -258.93636000 -269.31323600
50 -259.42453500 -268.18370900
50 -259.56164000 -270.03706200
50 -258.47363900 -272.67701300
50 -259.01091000 -270.35013800
50 -259.95124700 -270.31382800
50 -258.19107100 -269.00602700
50 -259.14967600 -270.81294900
50 -260.90649500 -271.46484800
50 -261.87683300 -271.76738000
50 -264.44791000 -272.14470500
50 -265.21543000 -271.10507800
50 -266.49968400 -272.74707500
50 -267.96659800 -274.13512600
50 -263.67921700 -271.37492300
50 -271.61524200 -274.22450500
50 -271.92532100 -274.49498200
50 -272.89943300 -276.00178400
50 -270.44045300 -273.49818100
50 -274.55757000 -276.60719800
50 -267.03367500 -273.27136400
50 -265.72668600 -272.39798800
50 -267.03292400 -275.37672400
50 -268.32996100 -275.02739300
50 -269.35962700 -275.07488400
50 -270.51666600 -274.37835700
50 -271.75269300 -275.77279600
50 -273.79084200 -275.87998000
50 -273.77814400 -275.98115800
50 -274.32506000 -276.95831200
50 -274.11490200 -275.88446000
50 -275.01467000 -276.46515300
50 -273.77383100 -276.71714700
50 -275.31876100 -277.22405600
50 -273.34029900 -277.04481100
50 -275.84604000 -278.17565300
50 -276.87605400 -278.00151800
50 -276.35706000 -277.46039000
50 -276.38518900 -278.13381700
50 -275.65748700 -278.16440200
50 -277.24333100 -278.88093500
50 -277.96305900 -279.03880600
50 -277.41639400 -279.29664700
50 -275.47965100 -279.60283400
50 -277.22335300 -279.08259500
50 -277.79985200 -280.00590100
50 -278.19381300 -279.92785300
50 -280.07438700 -280.07900600
50 -279.13832600 -279.79851500
50 -277.94544200 -279.63133800
50 -278.73428700 -280.78680700
50 -277.51199600 -280.06049200
