50 -202.97426800 -208.42953100
50 -204.05667600 -208.39012500
50 -207.93220400 -210.85561200
50 -212.41161300 -211.56772000
50 -215.69060600 -213.63745000
50 -213.96573300 -214.19682700
50 -219.58443100 -217.82497400
50 -224.71981400 -221.14716800
50 -219.22166400 -217.96143200
50 -223.51241100 -221.43467600
50 -224.90019600 -220.66894600
50 -222.02126700 -221.95210000
50 -229.97670300 -227.74234300
50 -224.73617500 -222.14751800
50 -231.33958300 -224.72185500
50 -221.58775300 -220.74024600
50 -223.60247100 -221.62076600
50 -215.33324500 -220.63520600
50 -218.77953600 -222.84316400
50 -224.70766700 -224.23511700
50 -224.70259000 -222.29759600
50 -228.10712100 -225.43526200
50 -232.06814900 -227.65782100
50 -221.58553800 -219.20052200
50 -227.81339700 -224.61549300
50 -231.12475200 -228.65455400
50 -222.83466700 -223.70668200
50 -224.92106300 -223.88465700
50 -226.06555700 -224.41760100
50 -226.70407400 -225.69420100
50 -225.05076600 -223.70099900
50 -224.87099800 -225.06512700
50 -228.58257600 -227.88949200
50 -227.20642400 -225.12994000
50 -228.14353100 -225.62316400
50 -235.35826600 -229.14840500
50 -232.52660600 -228.81157500
50 -231.02784000 -228.63119900
50 -231.18989100 -227.07155600
50 -234.98760900 -230.72108800
50 -235.79201000 -231.05960000
50 -232.65593400 -227.89403200
50 -231.53064800 -230.76622000
50 -238.90524600 -233.47777900
50 -233.43413400 -230.59080200
50 -234.58004400 -231.77232700
50 -232.33425800 -229.34353400
50 -232.52462900 -231.49689800
50 -231.91054800 -229.37032600
50 -235.73839200 -230.61393800
50 -235.97737800 -232.31189100
50 -235.94107700 -232.28149400
50 -234.32448300 -232.03061600
50 -240.56640600 -235.00718900
50 -235.49182600 -231.63162900
50 -238.29486500 -234.10668500
50 -236.41113300 -232.98146500
50 -240.78995200 -236.47764800
50 -237.74244600 -235.38006800
50 -239.65746600 -236.83029700
50 -237.56790300 -235.03207000
50 -235.20436800 -234.38489500
50 -238.18909900 -236.26242200
50 -237.29763400 -235.10219900
50 -239.26781300 -236.35864000
50 -240.94276600 -237.13449800
50 -240.73592300 -238.02134500
50 -242.41706300 -238.23941200
50 -242.17832300 -237.64554700
50 -242.62962200 -239.13545600
50 -244.92526900 -239.95359200
50 -241.38570200 -237.96030100
50 -243.23126500 -239.52427400
50 -243.40682700 -238.28597400
50 -243.58881800 -238.62473900
50 -242.65231400 -238.19256700
50 -244.03145100 -239.08562200
50 -245.93949200 -241.63864200
50 -241.80649600 -240.02354600
50 -242.42913800 -239.98478100
50 -243.99477700 -239.44936200
50 -246.96306400 -241.42740600
50 -246.40866900 -240.98324800
50 -246.12581400 -240.31511700
50 -246.09445200 -240.44942700
50 -249.25341800 -241.81290900
50 -249.82052700 -242.42732100
50 -246.56541200 -240.05997700
50 -248.67656300 -242.60463700
50 -249.20903700 -243.17693200
50 -251.71806700 -244.56323300
50 -250.81944000 -243.80413200
50 -251.53894600 -243.84914200
50 -253.23926200 -245.37518400
50 -251.29632100 -244.10450400
50 -254.29908800 -246.19487100
50 -252.22313300 -245.59306300
50 -251.74739200 -245.92089700
50 -251.28064800 -244.92623200
50 -254.42143900 -246.24961000
50 -253.15524600 -246.20624300
