#     Step             Time      Temperature                E_kin                     E_pot             Pressure
         0           0.0000        4825.8426          30.56562146        -242.65287299       19137.94804129
         1           0.5000        4741.9969          30.03456496        -242.38879049       20634.00267827
         2           1.0000        4750.0267          30.08542333        -242.56820134       21509.91415768
         3           1.5000        4864.8713          30.81281942        -243.07930216       21096.64917876
         4           2.0000        5002.6800          31.68566336        -243.64553636       20314.65581487
         5           2.5000        5111.9687          32.37786908        -244.04513666       19294.44799683
         6           3.0000        5055.7018          32.02148916        -244.11328696       18647.36069699
         7           3.5000        4901.6086          31.04550349        -243.50606572       17388.97135650
         8           4.0000        4587.4715          29.05584139        -241.17326131       16455.21518581
         9           4.5000        4495.3793          28.47255360        -241.09052771       11102.48261790
        10           5.0000        4758.4998          30.13908975        -243.19541076        2549.80011388
        11           5.5000        4809.0627          30.45934200        -243.40518189       -3382.15119066
        12           6.0000        4767.3550          30.19517644        -242.98519629       -9166.80155813
        13           6.5000        4656.5762          29.49353235        -242.58711051      -13765.06319224
        14           7.0000        4508.7129          28.55700526        -242.43033154      -16916.43044847
        15           7.5000        4546.6295          28.79715871        -242.50954260      -17209.40940110
        16           8.0000        4620.2254          29.26329586        -242.77513758      -15820.72492289
        17           8.5000        4665.6007          29.55069137        -243.16917010      -13705.44560928
        18           9.0000        4710.7363          29.83656866        -243.57777992      -10029.05583330
        19           9.5000        4675.5255          29.61355258        -243.82985749       -5777.96207866
        20          10.0000        4655.0890          29.48411329        -243.77211218       -1596.16049119
        21          10.5000        4562.5803          28.89818734        -243.38159316        2298.73267021
        22          11.0000        4408.9835          27.92534510        -242.85791935        6138.40147948
        23          11.5000        4351.7770          27.56301450        -242.73214425        8699.30698909
        24          12.0000        4276.3590          27.08533626        -242.77790789       10674.97406673
        25          12.5000        4259.8389          26.98070259        -242.66064657       12517.37842775
        26          13.0000        4337.1023          27.47006851        -242.61819033       13033.45329817
        27          13.5000        4398.8204          27.86097506        -242.50318635       13416.30786408
        28          14.0000        4372.5213          27.69440325        -242.28713510       14273.69037247
        29          14.5000        4323.5398          27.38416738        -241.94481983       15331.92624077
        30          15.0000        4183.7681          26.49889001        -241.35996187       16399.27581237
        31          15.5000        4005.2073          25.36793266        -240.21916685       18519.61091974
        32          16.0000        4064.3167          25.74231642        -240.62918153       18186.24706391
        33          16.5000        4308.1667          27.28679832        -242.13405197       15194.82123301
        34          17.0000        4444.7875          28.15211831        -242.94093689       12583.32021248
        35          17.5000        4460.9079          28.25422098        -243.51090490        9968.35319554
        36          18.0000        4559.3709          28.87785948        -244.15922911        9368.28954314
        37          18.5000        4760.2812          30.15037258        -245.10601821       10157.72936336
        38          19.0000        4959.7228          31.41358386        -246.33747219       10935.90545507
        39          19.5000        5135.7684          32.52861028        -247.66241777       11491.72725708
        40          20.0000        5214.0391          33.02435615        -248.76152291       10476.20098162
        41          20.5000        5389.5583          34.13604875        -249.35085551       10377.49791952
        42          21.0000        5449.6731          34.51680030        -249.61493745       11690.68818905
        43          21.5000        5524.4086          34.99015557        -250.52902829       13258.01855194
        44          22.0000        5589.3766          35.40164570        -251.51436110       12513.96320583
        45          22.5000        5600.7362          35.47359421        -251.74832943       13317.50657809
        46          23.0000        5512.8950          34.91723101        -251.22698281       16083.87690740
        47          23.5000        5391.9487          34.15118942        -250.15568883       20347.12303477
        48          24.0000        5311.6129          33.64236300        -248.80562238       26330.20362205
        49          24.5000        5110.5730          32.36902946        -247.39038538       31563.83766048
        50          25.0000        4974.3250          31.50607031        -246.14513691       36003.01331035
        51          25.5000        4852.2010          30.73256901        -245.28896213       38926.29558951
        52          26.0000        4873.0692          30.86474265        -244.90343725       41827.60388853
        53          26.5000        4729.6921          29.95662937        -244.72770458       41662.24706758
        54          27.0000        4647.7727          29.43777368        -244.46881351       40919.42506502
        55          27.5000        4574.8785          28.97608092        -244.12891272       41641.29029058
        56          28.0000        4516.4122          28.60577025        -243.83352937       42493.03335194
        57          28.5000        4485.0383          28.40705661        -243.64164366       43901.86401012
        58          29.0000        4520.8244          28.63371616        -243.53056188       45413.04411355
        59          29.5000        4500.0568          28.50217947        -243.42951135       46288.01250365
        60          30.0000        4518.5847          28.61953039        -243.69631348       45480.80880782
        61          30.5000        4716.0595          29.87028425        -244.79736659       42216.59462946
        62          31.0000        4827.7023          30.57740058        -245.89370889       38032.55549533
        63          31.5000        4885.7565          30.94510061        -246.54742577       34277.11406889
        64          32.0000        4932.6402          31.24204956        -246.74997924       30643.26985497
        65          32.5000        4921.4628          31.17125500        -246.79095964       26238.26453915
        66          33.0000        4808.1615          30.45363435        -246.99720478       20503.70744688
        67          33.5000        4847.8626          30.70509014        -247.18849347       17605.14847869
        68          34.0000        4816.8316          30.50854842        -247.18323043       15942.62900569
        69          34.5000        4839.8809          30.65453617        -246.94894019       16016.09314236
        70          35.0000        4795.9752          30.37644938        -246.51562884       16249.95242499
        71          35.5000        4663.5746          29.53785842        -245.93046348       16493.57083306
        72          36.0000        4536.4251          28.73252732        -245.25503556       16646.45323019
        73          36.5000        4388.5718          27.79606280        -244.60145792       16139.63170340
        74          37.0000        4268.3104          27.03435891        -244.06318845       15314.10185754
        75          37.5000        4220.8855          26.73398184        -243.72828542       14276.41579983
        76          38.0000        4164.2410          26.37521028        -243.61013358       13104.12195523
        77          38.5000        4228.5110          26.78228009        -243.69559573       12518.55347443
        78          39.0000        4244.4779          26.88340984        -243.95515037       11078.75748960
        79          39.5000        4237.1837          26.83721039        -244.32670219        8496.56889750
        80          40.0000        4264.1292          27.00787616        -244.72779037        6166.35032065
        81          40.5000        4288.5853          27.16277472        -244.96278731        5625.02208929
        82          41.0000        4204.6463          26.63112703        -244.82304238        5149.84747180
        83          41.5000        4087.0674          25.88641289        -244.38693255        5301.01662572
        84          42.0000        4089.4265          25.90135479        -244.21241238        5794.19175671
        85          42.5000        4202.0129          26.61444800        -244.78594305        5296.58912497
        86          43.0000        4313.0364          27.31764146        -245.51583373        3937.82973034
        87          43.5000        4474.7370          28.34181071        -246.15711149        2054.72615860
        88          44.0000        4586.9047          29.05225129        -246.69147639       -1402.62787124
        89          44.5000        4611.3485          29.20707187        -246.81979520       -5163.84686586
        90          45.0000        4645.3536          29.42245131        -246.69297798       -7172.94590019
        91          45.5000        4541.5719          28.76512524        -246.40338469       -8820.45019556
        92          46.0000        4490.2219          28.43988814        -246.09267287       -9962.05562504
        93          46.5000        4396.5798          27.84678362        -245.87679706      -10726.78370800
        94          47.0000        4374.3776          27.70616072        -245.78842298      -10952.79291885
        95          47.5000        4356.9265          27.59562964        -245.75891739      -11220.86320002
        96          48.0000        4306.1531          27.27404422        -245.71420014      -11975.08310985
        97          48.5000        4349.7688          27.55029466        -245.61220292      -12247.43830145
        98          49.0000        4287.1155          27.15346539        -245.47720644      -12753.31219532
        99          49.5000        4402.3131          27.88309661        -245.38490451      -10741.65794435
       100          50.0000        4334.3211          27.45245319        -245.36588571       -8581.80892195
       101          50.5000        4355.3113          27.58539984        -245.44334562       -4334.29275747
       102          51.0000        4367.3293          27.66151855        -245.60478426         605.56640273
       103          51.5000        4318.7891          27.35407795        -245.81920800        4840.85036721
       104          52.0000        4331.4089          27.43400843        -246.05484488        9820.84169485
       105          52.5000        4386.6112          27.78364505        -246.27081114       15674.60108423
       106          53.0000        4446.5301          28.16315553        -246.38779768       22270.12800464
       107          53.5000        4477.1173          28.35688690        -246.29336174       28081.20993556
       108          54.0000        4313.4130          27.32002688        -245.79723722       32857.98726454
       109          54.5000        4202.9160          26.62016808        -245.24033061       36189.65391731
       110          55.0000        4137.1095          26.20336685        -245.06000229       35630.71476932
       111          55.5000        4089.9886          25.90491530        -245.20458782       33950.22065021
       112          56.0000        4114.6204          26.06092643        -245.11187808       32237.31964084
       113          56.5000        4011.5694          25.40822890        -244.57729958       28860.93964712
       114          57.0000        3844.6345          24.35090643        -243.82577932       24593.27784163
       115          57.5000        3718.7939          23.55386533        -243.07342861       20776.27666383
       116          58.0000        3702.4570          23.45039155        -242.46054946       16793.78032332
       117          58.5000        3591.4813          22.74750063        -242.04186170       12914.65735739
       118          59.0000        3491.2050          22.11237722        -241.84639981       10719.65313124
       119          59.5000        3451.8599          21.86317539        -241.85396060        9487.01162186
       120          60.0000        3415.7880          21.63470525        -242.00502572        8376.75566070
       121          60.5000        3366.1341          21.32021081        -242.24620524        7110.65899621
       122          61.0000        3400.8977          21.54039405        -242.54956260        6635.03332596
       123          61.5000        3483.7636          22.06524494        -242.96202098        6619.91318640
       124          62.0000        3561.8614          22.55989615        -243.58791078        5435.08395589
       125          62.5000        3633.6111          23.01433986        -244.43844879        4335.33608390
       126          63.0000        3756.3513          23.79174402        -245.44966823        4016.81621310
       127          63.5000        3954.9737          25.04976608        -246.55382265        5203.81824612
       128          64.0000        4068.4499          25.76849452        -247.60192069        6367.08379806
       129          64.5000        4129.1307          26.15283126        -248.40620306        7538.53785067
       130          65.0000        4251.9152          26.93051562        -248.95013532        8629.35351143
