#     Step             Time      Temperature                E_kin                     E_pot             Pressure
         0           0.0000     3061423.5753       19390.25413035        -140.91781623    20706860.91001088
         1           0.5000     3043947.4450       19279.56490394        -148.58199424    20590128.60467231
         2           1.0000     3030039.5680       19191.47605804         -17.64613823    20608638.11034785
         3           1.5000     3055516.9695       19352.84323836          14.19477460    20645983.32128002
         4           2.0000     3070862.3334       19450.03674928        -140.42506664    20701702.47450114
         5           2.5000     3058062.4792       19368.96582919        -136.05983345    20620295.33818613
         6           3.0000     3052294.0565       19332.43015224        -112.88923407    20655473.07345934
         7           3.5000     3047499.9400       19302.06547561        -146.03348247    20611937.48398506
         8           4.0000     3032598.6716       19207.68474900        -156.78496494    20531444.39688870
         9           4.5000     3013199.3813       19084.81473120        -144.70606131    20430211.43563078
        10           5.0000     2986686.3730       18916.88828955          50.34168262    20460955.91842987
        11           5.5000     3013108.8300       19084.24120312        -113.53067157    20525348.18363115
        12           6.0000     2998351.7756       18990.77389025         -97.21021191    20442440.13676741
        13           6.5000     2984603.3134       18903.69473587        -139.17550418    20220573.92941708
        14           7.0000     2967755.5001       18796.98510451        -151.51631482    20042911.35069863
        15           7.5000     2959126.9588       18742.33418656        -114.37965553    20057225.55732403
        16           8.0000     2952796.1960       18702.23679502        -143.27867469    19974393.81131258
        17           8.5000     2934174.9621       18584.29478276        -143.13309792    19827738.96223154
        18           9.0000     2885110.5546       18273.53369205        -100.54551013    19584202.64537368
        19           9.5000     2822261.6356       17875.46511988        -119.14171269    19124837.03237578
        20          10.0000     2806816.5749       17777.64015507        -123.04645126    18990247.58040355
        21          10.5000     2811527.7979       17807.47980632        -148.32561350    18984956.83128842
        22          11.0000     2790833.7053       17676.40885060        -156.60909176    18879043.69298127
        23          11.5000     2779766.4617       17606.31183148         -78.36741830    18939556.96428698
        24          12.0000     2780930.1733       17613.68247547        -150.05446010    18777435.34084889
        25          12.5000     2757911.6503       17467.88918747        -109.05569709    18714684.43042080
        26          13.0000     2741498.0525       17363.92976276        -151.26055475    18541276.11759943
        27          13.5000     2722417.9103       17243.08114527        -132.61193652    18431422.13502424
        28          14.0000     2697081.6660       17082.60801835          46.84639975    18271434.04614868
        29          14.5000     2683980.2818       16999.62728618        -137.28077505    18211869.47867822
        30          15.0000     2662619.8344       16864.33581335        -122.76435645    18082680.27794215
        31          15.5000     2639973.8188       16720.90188924        -109.05763633    17974662.54762388
        32          16.0000     2611742.8890       16542.09458290         -97.88177352    17832369.51839184
        33          16.5000     2583139.7475       16360.92978534         -87.39643583    17632901.40163177
        34          17.0000     2566823.1994       16257.58504823         -93.07215234    17492091.67243787
        35          17.5000     2546365.2632       16128.00984491         -87.17505321    17348330.77367251
        36          18.0000     2528061.6672       16012.07966741         -94.08405621    17202467.56499142
        37          18.5000     2523452.2006       15982.88451476        -128.05199028    17107542.13215988
        38          19.0000     2528029.5817       16011.87644663        -122.22885072    17146233.55484571
        39          19.5000     2530931.3938       16030.25576374        -141.60179011    17077735.71776295
        40          20.0000     2513995.5932       15922.98884329        -142.36962094    16962080.10673668
        41          20.5000     2503979.2814       15859.54815145        -111.85796923    16954802.99965990
        42          21.0000     2493651.5489       15794.13500189        -112.07007346    16856241.68023626
        43          21.5000     2487978.1455       15758.20115233         -37.73940231    16893553.02525702
        44          22.0000     2517394.6833       15944.51778894        -124.31279313    17043909.90280418
        45          22.5000     2513643.1470       15920.75654173        -136.83711146    16953276.70805173
        46          23.0000     2506118.4680       15873.09719813        -122.17681411    16915391.16216683
        47          23.5000     2490853.7541       15776.41450326         -98.41722430    16856807.89816940
        48          24.0000     2471378.5054       15653.06338457        -111.53092544    16717511.64152466
        49          24.5000     2454717.5949       15547.53754686        -136.24580311    16563670.18225108
        50          25.0000     2493291.8423       15791.85671465         -12.61693100    16893119.93708440
        51          25.5000     2504728.6428       15864.29440985          36.15823786    17016050.01489849
        52          26.0000     2476576.5914       15685.98669819        -125.59317870    16702206.77068677
        53          26.5000     2464397.8945       15608.85002620        -129.88590077    16626366.62300508
        54          27.0000     2450732.1216       15522.29460365        -134.59518960    16500163.11581453
        55          27.5000     2453639.3424       15540.70817831        -119.58273163    16532171.47020028
        56          28.0000     2437825.2730       15440.54600955        -109.36928927    16490924.59538868
        57          28.5000     2406959.7137       15245.05165056        -139.06863610    16226051.65123410
        58          29.0000     2392079.7260       15150.80571059        -133.51492677    16155928.59332454
        59          29.5000     2377935.8463       15061.22208576        -132.86307780    16072155.11808736
        60          30.0000     2361297.8686       14955.84149801        -114.58696696    15938640.65717297
        61          30.5000     2348251.8795       14873.21162369        -135.87495869    15837510.46468479
        62          31.0000     2339615.5992       14818.51168926        -134.49138294    15779615.29590033
        63          31.5000     2328195.8673       14746.18210201        -139.17740379    15722665.80200767
