#     Step             Time      Temperature                E_kin                     E_pot             Pressure
         0           0.0000        6476.4948          41.02041991        -213.20879130       19919.40610920
         1           0.5000        6353.7445          40.24295125        -212.80541494       20671.02199975
         2           1.0000        6315.7291          40.00217166        -212.74785645       22114.65824946
         3           1.5000        6374.9633          40.37734574        -212.91158356       24287.39066019
         4           2.0000        6442.8377          40.80724459        -213.02275095       27813.07800653
         5           2.5000        6472.5333          40.99532839        -212.91011821       33427.88398600
         6           3.0000        6350.1550          40.22021633        -212.58986719       39118.88929344
         7           3.5000        6234.7640          39.48936003        -212.23219865       44400.83636381
         8           4.0000        6249.3237          39.58157734        -212.12280165       51055.98642388
         9           4.5000        6215.1768          39.36530033        -212.56222673       55167.86868675
        10           5.0000        6300.7404          39.90723718        -213.50760724       56979.47390604
        11           5.5000        6455.9310          40.89017399        -214.50888736       58303.37814212
        12           6.0000        6548.5954          41.47708608        -215.06152790       60443.47607833
        13           6.5000        6443.5144          40.81153041        -214.81660489       61114.45878955
        14           7.0000        6156.5518          38.99398475        -213.90986655       60242.67075587
        15           7.5000        6046.9546          38.29982484        -213.03964994       61143.05576708
        16           8.0000        6019.9204          38.12859701        -212.69898336       60184.99468716
        17           8.5000        5964.9495          37.78042582        -212.56089052       56804.54326559
        18           9.0000        5835.7042          36.96182025        -211.89103481       53222.16972200
        19           9.5000        5688.0309          36.02649636        -211.34620212       47567.59955246
        20          10.0000        5800.7901          36.74068366        -212.33159551       39923.39386142
        21          10.5000        5866.7683          37.15857170        -213.00766498       32648.75539798
        22          11.0000        5761.2074          36.48997676        -212.88828155       26753.30632474
        23          11.5000        5654.8641          35.81642641        -212.46711971       22754.34486981
        24          12.0000        5507.4449          34.88271171        -212.12170070       20326.93850804
        25          12.5000        5476.1178          34.68429397        -211.99216590       18889.92960383
        26          13.0000        5554.2164          35.17895039        -211.92142313       18870.77756102
        27          13.5000        5614.7335          35.56224967        -211.76052496       19329.04226574
        28          14.0000        5609.8881          35.53156027        -211.68748657       19381.50972601
        29          14.5000        5655.6635          35.82148982        -211.96955610       19330.22548895
        30          15.0000        5690.1341          36.03981757        -212.54910686       18155.99834591
        31          15.5000        5724.9138          36.26010299        -213.00084130       16706.75397061
        32          16.0000        5735.0202          36.32411402        -213.08831029       16054.49955052
        33          16.5000        5751.0093          36.42538472        -213.07621569       16224.41882640
        34          17.0000        5751.7888          36.43032176        -213.11164419       15180.43604360
        35          17.5000        5668.7284          35.90423947        -213.16102766       13754.40215894
        36          18.0000        5682.3593          35.99057381        -213.32680780       11705.29450425
        37          18.5000        5777.8627          36.59546721        -213.61614131       11733.30945536
        38          19.0000        5818.8230          36.85489906        -213.86013376       12452.08316699
        39          19.5000        5798.7697          36.72788678        -213.94269658       13912.75597215
        40          20.0000        5705.2131          36.13532343        -213.96462951       16494.30761358
        41          20.5000        5805.0182          36.76746333        -214.07163684       19660.64661715
        42          21.0000        5842.2839          37.00349414        -214.29290881       21766.09312397
        43          21.5000        5822.6604          36.87920396        -214.58910665       23683.34907726
        44          22.0000        5786.9104          36.65277296        -214.89571727       25374.33803375
        45          22.5000        5824.9661          36.89380785        -215.30755867       27799.40973601
        46          23.0000        5911.8585          37.44416163        -215.92085567       29898.92631688
        47          23.5000        6067.3372          38.42892266        -216.63484121       30580.44581525
        48          24.0000        6287.9634          39.82631106        -217.16847895       30940.61229688
        49          24.5000        6334.3889          40.12035808        -217.35079060       30805.24762263
        50          25.0000        6387.5263          40.45691686        -217.26342038       32397.70076412
        51          25.5000        6397.9564          40.52297840        -217.30229338       33013.36165552
        52          26.0000        6491.7541          41.11706786        -217.34564982       35183.90679412
        53          26.5000        6309.7094          39.96404466        -217.06231866       35333.43980417
        54          27.0000        6148.6061          38.94365888        -216.37564535       35485.08204784
